2019-11-22 15:14:58.794 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$1b7f45b0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:15:00.600 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:15:00.848 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:15:01.353 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.51 seconds (JVM running for 6.681)
2019-11-22 15:15:01.718 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:15:01.719 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:15:01.964 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:15:01.973 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 9
2019-11-22 15:15:02.979 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 8
2019-11-22 15:15:03.986 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 7
2019-11-22 15:15:04.997 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 6
2019-11-22 15:15:06.003 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 5
2019-11-22 15:15:07.009 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 4
2019-11-22 15:15:08.015 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 3
2019-11-22 15:15:09.022 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 2
2019-11-22 15:15:10.026 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 1
2019-11-22 15:15:11.033 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间: 0
2019-11-22 15:15:11.048 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:15:59.194 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41958 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:15:59.195 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:16:00.125 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:16:00.127 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:16:00.169 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22ms. Found 0 repository interfaces.
2019-11-22 15:16:00.796 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.hateoas.config.HateoasConfiguration' of type [org.springframework.hateoas.config.HateoasConfiguration$$EnhancerBySpringCGLIB$$dd2433a6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-22 15:16:02.484 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-22 15:16:03.169 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-11-22 15:16:04.042 [main] INFO  com.jandar.file.test.SpringBootMainTest - Started SpringBootMainTest in 5.343 seconds (JVM running for 6.499)
2019-11-22 15:16:04.470 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2019-11-22 15:16:04.472 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2019-11-22 15:16:04.747 [main] INFO  com.jandar.file.test.SpringBootMainTest - 陈总
2019-11-22 15:16:04.757 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:9,数据:陈总 
2019-11-22 15:16:05.767 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:8,数据:陈总 
2019-11-22 15:16:06.770 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:7,数据:陈总 
2019-11-22 15:16:07.775 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:6,数据:陈总 
2019-11-22 15:16:08.781 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:5,数据:陈总 
2019-11-22 15:16:09.788 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:4,数据:陈总 
2019-11-22 15:16:10.795 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:3,数据:陈总 
2019-11-22 15:16:11.803 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:2,数据:陈总 
2019-11-22 15:16:12.807 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:1,数据:陈总 
2019-11-22 15:16:13.811 [main] INFO  com.jandar.file.test.SpringBootMainTest - 过期时间:0,数据:陈总 
2019-11-22 15:16:14.857 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-11-22 15:17:47.327 [main] INFO  com.jandar.file.test.SpringBootMainTest - Starting SpringBootMainTest on ip-192-68-69-110.ptr.bcit.ca with PID 41965 (started by gaochenyang in /Users/gaochenyang/jandar 爬虫/爬虫版本-v.8/jandar_reptile)
2019-11-22 15:17:47.330 [main] INFO  com.jandar.file.test.SpringBootMainTest - No active profile set, falling back to default profiles: default
2019-11-22 15:17:48.727 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-11-22 15:17:48.732 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-22 15:17:48.789 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35ms. Found 0 repository interfaces.
